,ID,ANO_NACIMIENTO,INTERPARTO,ovder,ovizq,utero,Efectividad,DIM,RAZA_EC,RAZA_F1H,RAZA_F1J,PADRE_BR,PADRE_H00589,PADRE_H0584,PADRE_H0585,PADRE_H0589,PADRE_H0671,PADRE_H0681,PADRE_H0719,PADRE_H0778,PADRE_H1297,PADRE_H487,PADRE_H489,PADRE_H497,PADRE_H590,PADRE_H7979,PADRE_H9247,PADRE_HO0585,PADRE_HO0589,PADRE_HO0681,PADRE_HO0778,PADRE_HO6440,PADRE_HO7494,PADRE_HO7681,PADRE_HO778,PADRE_HO7816,PADRE_HO8161,PADRE_HO8516,PADRE_HO8745,PADRE_HOL,PADRE_J0778,PADRE_JE0761,PADRE_JE0778,PADRE_JE5181,PADRE_JERSEY
111,090034HO,2009,359,1,0,1,33.33333333,207.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,090035HO,2009,494,0,0,0,42.85714286,234.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,090036HO,2009,656,1,1,1,25.92592593,254.16666666700002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,090039HO,2009,313,0,0,0,60.0,212.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,090040HO,2009,463,0,0,0,57.14285714,229.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,090041HO,2009,347,1,0,1,21.05263158,238.42857142900002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,090042HO,2009,315,1,0,1,24.390243899999998,311.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,090043HO,2009,653,1,1,1,18.42105263,332.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,090044HO,2009,345,1,0,1,27.27272727,237.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,090047HO,2009,0,0,0,0,66.66666667,262.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,090048HO,2009,355,0,0,1,33.33333333,248.4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,090049HO,2009,410,0,0,1,26.31578947,260.666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,090050HO,2009,337,1,0,1,28.57142857,278.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,090051HO,2009,336,0,0,0,50.0,243.33333333299998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,090052HO,2009,320,0,0,1,60.0,254.33333333299998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,090053HO,2009,593,0,0,0,33.33333333,241.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,090054HO,2009,320,0,0,0,57.14285714,226.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,090055HO,2009,351,1,0,1,29.62962963,247.66666666700002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,090056HO,2009,395,0,0,1,25.0,243.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,090057HO,2009,616,1,1,0,5.882352941000001,403.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
