981,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ID","ANO_NACIMIENTO","INTERPARTO","ovder","ovizq","utero","DIM","RAZA_EC","RAZA_F1H","RAZA_F1J","PADRE_BR","PADRE_H00589","PADRE_H0584","PADRE_H0585","PADRE_H0589","PADRE_H0671","PADRE_H0681","PADRE_H0719","PADRE_H0778","PADRE_H1297","PADRE_H487","PADRE_H489","PADRE_H497","PADRE_H590","PADRE_H7979","PADRE_H9247","PADRE_HO0585","PADRE_HO0589","PADRE_HO0681","PADRE_HO0778","PADRE_HO6440","PADRE_HO7494","PADRE_HO7681","PADRE_HO778","PADRE_HO7816","PADRE_HO8161","PADRE_HO8516","PADRE_HO8745","PADRE_HOL","PADRE_J0778","PADRE_JE0761","PADRE_JE0778","PADRE_JE5181","PADRE_JERSEY","Efectividad"
090050HO,2009,337,1,0,1,278.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857
090051HO,2009,336,0,0,0,243.33333333299998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0
090052HO,2009,320,0,0,1,254.33333333299998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0
090053HO,2009,593,0,0,0,241.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333
090054HO,2009,320,0,0,0,226.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.14285714
090055HO,2009,351,1,0,1,247.66666666700002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.62962963
090056HO,2009,395,0,0,1,243.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0
090057HO,2009,616,1,1,0,403.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8823529410000015
090058HO,2009,679,1,1,0,379.33333333300004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.04347826
090059HO,2009,632,0,0,0,283.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429
090060HO,2009,576,1,1,1,426.66666666699996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.375
090061HO,2009,354,0,0,0,229.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667
090063HO,2009,323,0,0,1,261.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22222222
090065HO,2009,419,0,0,1,247.142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27272727
090069HO,2009,410,1,1,1,268.833333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.625
090070HO,2009,703,1,1,0,317.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909091
090072HO,2009,343,0,0,0,234.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667
